"","Factor1","Factor2","Factor3","Factor4"
"Games.played",0.21,0.92,-0.06,0.1
"plate.appearances",0.29,0.94,-0.03,0.12
"hits",0.42,0.89,-0.14,0.02
"singles",0.35,0.85,-0.33,0.02
"doubles",0.4,0.82,-0.08,0
"triples",0.19,0.42,-0.16,0.01
"runs.scored",0.44,0.85,0.03,0.16
"runs.batted.in",0.44,0.82,0.17,0.06
"bases.on.balls",0.33,0.69,0.17,0.56
"intentional.bases.on.balls",0.34,0.35,0.1,0.18
"strike.outs",0.18,0.79,0.35,0.02
"hit.by.pitch",0.21,0.39,-0.02,0.07
"sacrifice.fly",0.17,0.59,-0.07,0.06
"sacrifice.hit",-0.22,-0.07,-0.27,0.06
"ground.into.a.doubleplay",0.14,0.69,-0.13,-0.06
"stolen.base",0.17,0.37,-0.25,0.02
"caught.stealing",0.12,0.38,-0.19,-0.01
"batting.average",0.85,0.26,-0.39,-0.11
"BB.PA",0.21,0.02,0.28,0.87
"strikouts.plate.perc",-0.21,-0.21,0.67,-0.17
"bases.on.balls.strikeouts",0.29,0.14,-0.23,0.77
"on.base.perc",0.82,0.19,-0.15,0.44
"slugging.perc",0.87,0.29,0.33,-0.09
"OPS",0.93,0.28,0.18,0.1
"Isolated.Power",0.63,0.23,0.67,-0.05
"running.speed.score",0.14,0.13,-0.25,-0.04
"on.balls.in.play",0.63,0.05,-0.31,-0.15
"ultimate.base.running",0.05,0.04,-0.04,0.08
"wGDP",0.09,-0.09,0.19,0.15
"stolenbase.stealing.ratio",0.06,0.04,-0.19,-0.04
"wRuns.created",0.55,0.8,0.06,0.18
"wRuns.AboveAvg",0.82,0.28,0.2,0.23
"wOBA",0.93,0.26,0.14,0.18
"wRuns.created.plus",0.92,0.25,0.15,0.19
"GroundBall.fly.ratio",-0.08,-0.02,-0.5,-0.15
"LineDrive.perc",0.25,0.01,-0.29,-0.03
"GroundBall.perc",-0.16,0,-0.45,-0.17
"Flyball.perc",0.03,-0.01,0.59,0.19
"Infieldfly.perc",-0.19,-0.06,0.08,0.02
"HomeRun.Flyball.ratio",0.5,0.18,0.72,-0.09
"hit.infield",0.24,0.67,-0.28,-0.08
"hit.infield.perc",0.16,0,-0.13,-0.13
"hit.bunt",-0.05,0.03,-0.19,0.05
"hit.bunt.perc",0.02,-0.03,-0.14,0.05
"hit.pull.perc",-0.01,-0.09,0.47,0.02
"hit.CF.perc",0.02,0.1,-0.29,-0.01
"hit.push.perc",0,0.04,-0.39,-0.02
"hit.softspeed.perc",-0.24,-0.13,-0.14,0.03
"hit.medspeed.perc",-0.27,-0.22,-0.57,0.1
"hit.hardspeed.perc",0.39,0.28,0.61,-0.11
"bat.exit.velocity",0.39,0.29,0.54,-0.05
"bat.max.exit.velocity",0.32,0.43,0.47,-0.15
"launch.angle",0.05,-0.03,0.48,0.19
"bat.barrels",0.46,0.71,0.44,0.03
"bat.barrel.perc",0.41,0.17,0.82,-0.06
"bat.hardHit",0.37,0.89,0.05,0.02
"bat.hardHit.perc",0.36,0.29,0.59,-0.12
"x.batting.average",0.65,0.37,-0.28,-0.11
"x.slugging.perc",0.67,0.36,0.47,-0.08
"x.wOBA",0.72,0.34,0.3,0.21
"Clutch",-0.04,-0.04,-0.18,-0.02
"out.swing.perc",-0.08,0.05,-0.08,-0.83
"in.swing.perc",0.11,0.14,0.19,-0.54
"Swing.perc",-0.03,0.08,-0.01,-0.85
"out.Contact.perc",0.14,0.12,-0.66,0.22
"in.contact.perc",0.09,0.11,-0.66,0.18
"total.contact.perc",0.13,0.11,-0.7,0.33
"Zone.perc",-0.17,-0.15,-0.28,0.11
"F.Strike.perc",-0.17,-0.09,-0.16,-0.56
"swing.strike.perc",-0.13,-0.06,0.58,-0.57
"called.strike.perc",-0.11,-0.17,-0.23,0.55
"called.swing.strikes.perc",-0.27,-0.25,0.44,-0.09
"ball.fastball",0.66,0.21,0.23,0.22
"ball.sliders",0.51,0.1,0,0.1
"ball.cutters",0.27,0.08,0.13,-0.03
"ball.curves",0.35,0.2,-0.03,0.2
"ball.changeups",0.38,0.2,0.04,0.18
"ball.splitters",0.16,0.05,-0.01,0.03
"ball.fastball.ratio",0.7,0.15,0.2,0.16
"ball.sliders.ratio",0.55,0.13,-0.04,0.08
"ball.cutters.ratio",0.29,0.11,0.1,-0.05
"ball.curves.ratio",0.34,0.13,-0.08,0.17
"ball.changeups.ratio",0.38,0.1,0.01,0.1
"ball.splitters.ratio",0.25,0.07,-0.03,0.01
"ball.fastball.perc",-0.06,-0.02,-0.31,0.26
"ball.fastball.velocity",0.18,0.2,0.17,0.03
"ball.sliders.perc",0,0.04,0.14,-0.39
"ball.sliders.velocity",0.15,0.23,0.05,-0.05
"ball.cutters.perc",0.05,0.03,0.01,0.16
"ball.cutters.velocity",0.03,0.04,0.01,0.18
"ball.curves.perc",-0.03,-0.02,0.09,0.01
"ball.curves.velocity",0.02,0.14,0.07,-0.05
"ball.changeups.perc",0.04,-0.02,0.12,0.07
"ball.changeups.velocity",0.07,0.09,0.11,0.32
"ball.splitters.perc",0.14,0,0.17,0.05
"ball.splitters.velocity",-0.03,0.1,0.03,0.06
"Batting.wOBA",0.8,0.28,0.21,0.24
"Fielding",-0.03,0.1,-0.05,-0.03
"Wins.above.replacement",0.63,0.52,0.07,0.19
